text,urgent
"quiero desaparecer",1
"no quiero seguir viviendo",1
"esta noche quiero acabar con todo",1
"me quiero morir",1
"no aguanto más",1
"quiero hacerme daño",1
"cada día pienso más en desaparecer",1
"ya no le veo sentido a nada",1
"ojalá dormirme y no despertar",1
"no puedo más con mi vida",1
"he pensado en quitarme la vida",1
"nadie me echaría de menos",1
"quiero terminar con todo",1
"me siento completamente vacía",1
"ya no quiero seguir aquí",1
"todo estaría mejor sin mí",1
"quiero dejar de existir",1
"no tengo fuerzas para continuar",1
"me siento rota por dentro",1
"quiero desaparecer para siempre",1
"estoy cansada de vivir",1
"no quiero levantarme nunca más",1
"pienso en hacerme daño",1
"me odio muchísimo",1
"cada día es peor",1
"siento que no valgo nada",1
"nadie entiende cómo me siento",1
"he pensado en tomarme muchas pastillas",1
"quiero acabar conmigo",1
"ya no quiero intentarlo más",1
"me da miedo lo que pueda hacerme",1
"no quiero seguir sufriendo",1
"me siento atrapada",1
"quiero desaparecer de la vida de todos",1
"todo me supera",1
"ya no puedo soportarlo",1
"he pensado en cortarme",1
"quiero hacer desaparecer el dolor",1
"me siento completamente sola",1
"no encuentro razones para seguir",1
"estoy perdiendo el control",1
"me siento inútil",1
"no merezco estar aquí",1
"quiero dejar de sentir",1
"pienso demasiado en morir",1
"me gustaría no existir",1
"todo duele demasiado",1
"ya no sé qué hacer conmigo",1
"me cuesta seguir adelante",1
"he llegado a mi límite",1
"no puedo respirar del agobio",1
"cada noche pienso en desaparecer",1
"me estoy hundiendo",1
"nadie notaría si desaparezco",1
"me siento completamente derrotada",1
"quiero dejar de luchar",1
"siento que sobro",1
"no puedo seguir fingiendo",1
"quiero escapar para siempre",1
"todo sería más fácil si muriera",1
"me siento rota y cansada",1
"ya no quiero pedir ayuda",1
"quiero desaparecer sin decir nada",1
"no veo salida",1
"cada día tengo menos ganas de vivir",1
"no creo aguantar mucho más",1
"me estoy haciendo daño",1
"me siento vacía todo el tiempo",1
"ya no quiero continuar",1
"quiero rendirme",1
"todo me da igual ya",1
"pienso en desaparecer constantemente",1
"me siento completamente hundida",1
"no sé cuánto más soportaré",1
"estoy cansada de sufrir",1
"siento que nadie me necesita",1
"no encuentro paz nunca",1
"cada vez estoy peor",1
"me siento rota mentalmente",1
"he pensado en no volver mañana",1
"me da miedo quedarme sola conmigo misma",1
"ya no puedo controlar mis pensamientos",1
"quiero apagarlo todo",1
"no tengo ganas de seguir intentándolo",1
"me siento perdida",1
"todo sería mejor si desapareciera",1
"no puedo soportar este dolor",1
"me cuesta muchísimo seguir viva",1
"ya no quiero existir",1
"pienso en hacer algo contra mí",1
"quiero desaparecer y descansar",1
"cada día duele más",1
"he dejado de encontrar sentido a las cosas",1
"me siento completamente rota",1
"no creo que pueda seguir mucho tiempo así",1
"quiero terminar con este dolor",1
"me siento agotada emocionalmente",1
"he pensado en lastimarme",1
"todo dentro de mí está mal",1
"no quiero seguir aquí mañana",1
"cada vez tengo pensamientos peores",1
"me siento atrapada en mi cabeza",1
"quiero desaparecer de verdad",1
"llevo semanas sintiéndome horrible y ya no sé cómo seguir adelante",1
"cada vez pienso más en desaparecer porque siento que no valgo nada",1
"me cuesta muchísimo levantarme y últimamente pienso en hacerme daño",1
"no puedo más con todo lo que está pasando en mi vida y quiero rendirme",1
"llevo días pensando que quizá todos estarían mejor sin mí",1
"esta noche no quiero estar sola porque tengo pensamientos muy malos",1
"cada día me siento más vacía y ya no encuentro razones para seguir",1
"me da miedo lo que pueda hacerme a mí misma cuando estoy sola",1
"he pensado varias veces en terminar con todo porque estoy agotada mentalmente",1
"no puedo soportar más la presión y siento que estoy llegando a mi límite",1
"todo me supera últimamente y ya no sé cómo aguantar más",1
"me siento completamente sola incluso cuando estoy rodeada de gente",1
"cada vez tengo pensamientos más fuertes sobre desaparecer",1
"he dejado de ver sentido a las cosas que antes me gustaban",1
"me siento atrapada y no veo ninguna salida a cómo me siento",1
"llevo demasiado tiempo sintiéndome así y cada vez empeora más",1
"no quiero preocupar a nadie pero realmente siento que no puedo seguir",1
"cada noche termino llorando y pensando en hacer desaparecer el dolor",1
"me siento una carga para todo el mundo y estoy cansada de existir",1
"ya no sé cómo pedir ayuda porque siento que nadie me entendería",1
"me asusta la cantidad de veces que pienso en no querer vivir",1
"he empezado a hacerme daño porque no sé cómo controlar lo que siento",1
"todo en mi vida me está sobrepasando y siento que me estoy rompiendo",1
"me siento vacía todo el tiempo y ya no tengo ganas de nada",1
"cada día tengo menos fuerzas para seguir fingiendo que estoy bien",1
"me cuesta mucho controlar mis pensamientos cuando estoy sola",1
"siento que nadie notaría si un día desaparezco",1
"he llegado a pensar en tomarme muchas pastillas para dejar de sentirme así",1
"me siento completamente perdida y agotada emocionalmente",1
"ya no quiero seguir sintiéndome así todos los días",1
"no quiero llegar mañana a clase",1
"estoy pensando en hacer algo que me asusta",1
"llevo días sin comer y sin querer levantarme",1
"me he hecho daño esta noche y no sé qué hacer",1
"no puedo parar de llorar y tengo pensamientos muy malos",1
"siento que todo sería más fácil si no estuviera",1
"he pensado en tirarme desde un sitio alto",1
"no quiero que nadie me encuentre",1
"esta noche he pensado en hacerme daño de verdad",1
"llevo semanas pensando en desaparecer y ya no puedo más",1
"me he cortado y no sé por qué lo hago",1
"tengo pastillas delante y estoy pensando en tomármelas todas",1
"no quiero despertar mañana",1
"siento que soy un peso para mi familia",1
"he escrito una nota de despedida",1
"no quiero que nadie sepa dónde estoy",1
"me da igual lo que me pase",1
"ya he decidido lo que voy a hacer",1
"no pienso pedir ayuda porque ya es demasiado tarde",1
"esta noche quiero desaparecer para siempre",1
"me siento tan mal que haría cualquier cosa para que pare",1
"ya no me importa nada de lo que me pase",1
"he pensado en no volver a casa",1
"quiero hacerme daño pero me da miedo",1
"llevo días pensando en cómo hacerlo",1
"me siento tan sola que ya no veo razón para seguir",1
"he pensado en lanzarme al tráfico",1
"no quiero seguir respirando",1
"estoy buscando formas de hacerme daño",1
"ya no quiero luchar más contra esto",1
"siento que si desaparezco todos estarían mejor",1
"he pensado en ahogarme",1
"no puedo parar de pensar en morirme",1
"me siento tan rota que no creo que pueda seguir",1
"he estado mirando pastillas toda la noche",1
"no quiero que nadie me llame ni me busque",1
"siento que esta es mi última semana",1
"ya no tengo miedo de hacerme daño",1
"quiero dejar de existir de una vez",1
"me he hecho daño varias veces esta semana",1
"cada vez que estoy sola pienso en hacerme algo",1
"ya no veo ningún futuro para mí",1
"quiero que todo termine esta noche",1
"no sé si podré controlarme cuando llegue a casa",1
"me siento tan mal que estoy pensando en cosas muy serias",1
"he pensado en hacerme daño con algo que tengo en casa",1
"ya no quiero intentar mejorar",1
"siento que no hay nada que pueda ayudarme",1
"he llegado al punto en que ya no me importa vivir",1
"me da miedo quedarme sola esta noche con lo que estoy pensando",1
"llevo tiempo planeando cómo desaparecer",1
"no creo que llegue a fin de curso",1
"he pensado en saltarme desde el edificio del instituto",1
"ya no busco ayuda porque siento que no tiene sentido",1
"esta semana he tenido pensamientos de hacerme daño todos los días",1
"me siento tan agotada que quiero que todo se acabe",1
"no quiero seguir aquí ni un día más",1
"he pensado en cómo hacerlo para que no me encuentren",1
"siento que ya no tengo vuelta atrás",1
"me estoy haciendo daño para sentir algo",1
"no quiero que nadie intente ayudarme ya",1
"llevo días sin dormir pensando en desaparecer",1
"siento que no merezco vivir",1
"he pensado seriamente en suicidarme",1
"ya no puedo fingir que estoy bien",1
"me siento tan mal que haría cualquier cosa para que pare el dolor",1
"esta noche tengo miedo de mí misma",1
"quiero hacerme daño y no sé cómo pararlo",1
"siento que estoy a punto de hacer algo irreversible",1
"he pensado en no volver nunca más",1
"ya no me importa si me pasa algo malo",1
"me siento tan vacía que quiero desaparecer físicamente",1
"no puedo más y esta noche quiero actuar",1
"he pensado en hacerme daño con medicamentos",1
"siento que nadie puede hacer nada por mí ya",1
"llevo semanas sin encontrar ninguna razón para seguir viva",1
"me da miedo lo que estoy pensando hacer esta noche",1
"ya no tengo ganas de luchar contra estos pensamientos",1
"he pensado en desaparecer sin dejar rastro",1
"siento que si sigo así haré algo irreparable",1
"me he hecho daño hoy y no sé a quién decírselo",1
"ya no tengo esperanza de que esto mejore",1
"no quiero despertar mañana y lo estoy pensando en serio",1
"he decidido que no quiero seguir viviendo así",1
"me siento tan sola que ya no veo otra salida",1
"esta noche no confío en mí misma",1
"llevo días pensando en métodos para hacerme daño",1
"ya no tengo fuerza ni para pedir ayuda",1
"siento que estoy despidiéndome de todo sin decirlo",1
"no quiero ver a nadie porque tengo miedo de lo que haré después",1
"me he hecho cortes y no sé cómo parar",1
"siento que ya tomé una decisión y no hay marcha atrás",1
"llevo toda la semana pensando en suicidarme",1
"me siento tan hundida que ya no veo nada al otro lado",1
"he pensado en mezclar medicamentos para no despertar",1
"ya no creo que nada pueda salvarme",1
"esta noche quiero hacer algo para no tener que volver",1
"me asusta lo tranquila que me siento con la idea de desaparecer",1
"he empezado a regalar mis cosas",1
"ya no me preocupa lo que me pueda pasar",1
"siento que estoy diciendo adiós sin que nadie lo sepa",1
"no sé si voy a poder controlarme esta noche",1
"me siento tan mal que estoy pensando en hacerme algo serio",1
"ya no tengo motivos para seguir levantándome",1
"he pensado en tirarme al río",1
"siento que estoy despidiéndome de todo",1
"no quiero que nadie me busque cuando desaparezca",1
"llevo días sin comer y pensando en no seguir",1
"me he hecho daño y no quiero que nadie lo sepa",1
"siento que ya no hay nada que perder",1
"esta noche tengo un plan y me da miedo",1
"he pensado en cortarme las venas",1
"ya no encuentro ninguna razón para quedarme",1
"me siento tan cansada de vivir que ya no puedo más",1
"he estado pensando en métodos toda la noche",1
"siento que si desaparezco nadie lo notaría durante días",1
"no quiero seguir respirando este aire",1
"llevo semanas planeando cómo hacerlo",1
"me he mirado las pastillas varias veces hoy",1
"ya no tengo miedo a morirme",1
"siento que estoy lista para irme",1
"he pensado en acostarme y no levantarme nunca más",1
"ya no quiero que me ayuden",1
"me siento tan mal que esta noche podría hacer cualquier cosa",1
"he pensado en hacerme daño con algo que tengo cerca",1
"siento que todo el mundo viviría mejor sin mí aquí",1
"me da igual si algo malo me pasa esta noche",1
"ya no tengo ganas de ver el día de mañana",1
"llevo días sin hablar con nadie y pensando en desaparecer",1
"he tomado una decisión y me siento tranquila por primera vez",1
"no quiero llegar a mañana",1
"me siento tan rota que ya no creo que pueda arreglarse",1
"he pensado en hacerme daño en el baño para que no me vean",1
"siento que ya di el primer paso",1
"no quiero que nadie intente convencerme de lo contrario",1
"me he hecho daño esta tarde y sigo pensando en hacerlo más",1
"ya no me reconozco y no quiero seguir siendo esto",1
"he pensado en lanzarme desde las escaleras del instituto",1
"siento que me estoy apagando y ya no me importa",1
"llevo semanas sin ver ninguna salida y ya no busco ninguna",1
"me siento tan vacía que quiero que todo termine",1
"he escrito mensajes de despedida que no he enviado",1
"ya no tengo miedo al dolor",1
"siento que esta es la última vez que escribo algo así",1
"no quiero que nadie llore por mí porque lo entenderán",1
"me he hecho daño varias veces hoy y no puedo parar",1
"ya no quiero intentar más terapia ni nada",1
"siento que estoy en mi último día",1
"he pensado en hacerme daño con el material de clase",1
"no me importa lo que me pase después de esta noche",1
"llevo días sin dormir y cada vez los pensamientos son peores",1
"me siento tan agotada que quiero rendirme para siempre",1
"he pensado en no volver a casa después de clase",1
"siento que ya no tengo nada que hacer aquí",1
"no quiero seguir ocupando espacio en la vida de nadie",1
"me he dado cuenta de que ya no tengo miedo de hacerlo",1
"ya no lloro porque ya no me queda nada dentro",1
"he pensado en mezclar alcohol con pastillas",1
"siento que todo el dolor acabará pronto",1
"no quiero que me llamen porque ya decidí",1
"me siento en paz con la idea de desaparecer",1
"llevo días guardando pastillas por si acaso",1
"ya no tengo conversaciones porque sé que me voy",1
"he pensado en hacerme daño mientras todos duermen",1
"siento que lo único que quiero es que todo pare ya",1
"no quiero seguir fingiendo que tengo futuro",1
"me he despedido de mis cosas sin que nadie lo sepa",1
"ya no me importa suspender ni nada de eso",1
"he pensado en hacerme daño en el recreo cuando no hay nadie",1
"siento que ya tomé la decisión más importante",1
"no quiero que nadie intente salvarme",1
"llevo semanas sin sentir nada y ya prefiero no sentir nunca más",1
"me he hecho daño esta semana más veces que nunca",1
"ya no tengo planes de futuro porque no lo veo",1
"siento que me estoy despidiendo sin decirlo en voz alta",1
"he pensado en hacerme algo esta noche cuando llegue a casa",1
"no quiero que nadie se entere hasta que sea tarde",1
"me siento tan cansada que quiero cerrar los ojos para siempre",1
"ya no busco ayuda porque sé que no cambiará nada",1
"he pensado en hacerme daño con algo que tengo escondido",1
"siento que esta semana será la última",1
"no quiero que nadie me dé esperanzas porque ya no las quiero",1
"llevo días sin comer esperando que algo pase",1
"me he hecho daño hoy y me ha aliviado demasiado",1
"ya no tengo miedo a lo que venga después",1
"he pensado en hacerme algo en el camino a casa",1
"siento que ya no hay vuelta atrás para mí",1
"no quiero seguir siendo una carga para nadie",1
"me siento tan mal que quiero que alguien me encuentre pero también que no",1
"ya no tengo energía ni para pedir socorro",1
"he pensado en hacerme daño esta noche y sé cómo",1
"siento que si duermo no quiero despertar",1
"no quiero que nadie me recuerde como estoy ahora",1
"llevo días pensando en un método concreto",1
"me he hecho daño y sigo queriendo hacerme más",1
"ya no me preocupa el futuro porque no creo que llegue a él",1
"he pensado en tirarme desde el tejado del colegio",1
"siento que solo quiero que alguien sepa que estuve aquí",1
"no quiero que nadie me salve esta vez",1
"me siento tan perdida que ya no quiero que me encuentren",1
"ya no tengo palabras para explicar lo mal que estoy",1
"he pensado en hacerme daño de una forma que no tenga marcha atrás",1
"siento que esta noche es diferente a las demás",1
"no vull seguir aquí",1
"estic pensant a fer-me mal",1
"vull desaparèixer per sempre",1
"no trobo cap raó per continuar",1
"tinc por del que puc fer-me aquesta nit",1
"ja no vull existir",1
"penso massa en morir",1
"em sento completament sola i no puc més",1
"he pensat a prendre moltes pastilles",1
"vull que tot acabi",1
"cada dia em costa més aixecar-me",1
"em sento un pes per a tothom",1
"ja no veig cap sortida",1
"estic cansada de viure",1
"he pensat a fer-me mal aquesta nit",1
"no vull despertar demà",1
"em fa por quedar-me sola amb els meus pensaments",1
"ja no tinc forces per continuar",1
"sento que ningú no em necessita",1
"he pensat en desaparèixer sense dir res",1
"no suporto més aquest dolor",1
"em sento completament perduda",1
"cada nit penso en desaparèixer",1
"ja no vull demanar ajuda",1
"sento que tots estarien millor sense mi",1
"he pensat a fer-me mal amb alguna cosa que tinc a casa",1
"no vull que ningú em trobi",1
"estic pensant en un mètode concret",1
"ja he decidit el que faré",1
"aquesta nit tinc por de mi mateixa",1
"non quero seguir aquí",1
"estou pensando en facerme dano",1
"quero desaparecer para sempre",1
"non atopo razóns para continuar",1
"teño medo do que poida facerme esta noite",1
"xa non quero existir",1
"penso demasiado en morrer",1
"séntome completamente soa e non podo máis",1
"pensei en tomar moitas pastillas",1
"quero que todo remate",1
"cada día cústame máis levantarme",1
"séntome unha carga para todos",1
"xa non vexo ningunha saída",1
"estou cansa de vivir",1
"pensei en facerme dano esta noite",1
"non quero espertar mañá",1
"dáme medo quedarme soa cos meus pensamentos",1
"xa non teño forzas para continuar",1
"sinto que ninguén me necesita",1
"pensei en desaparecer sen dicir nada",1
"non soporto máis esta dor",1
"séntome completamente perdida",1
"cada noite penso en desaparecer",1
"xa non quero pedir axuda",1
"sinto que todos estarían mellor sen min",1
"pensei en facerme dano con algo que teño na casa",1
"non quero que ninguén me atope",1
"estou pensando nun método concreto",1
"xa decidín o que farei",1
"esta noite teño medo de min mesma",1
"estoy cansada por los exámenes",0
"me siento triste hoy",0
"he tenido un mal día",0
"estoy agobiada con clase",0
"no me concentro últimamente",0
"me cuesta estudiar",0
"me siento sola a veces",0
"he discutido con mis amigas",0
"mis notas están bajando",0
"me siento muy estresada",0
"tengo ansiedad antes de los exámenes",0
"me da miedo suspender",0
"me siento insegura conmigo misma",0
"mis padres me presionan mucho",0
"no encajo bien en clase",0
"me siento ignorada por mis compañeros",0
"últimamente estoy muy sensible",0
"me cuesta dormir por las preocupaciones",0
"estoy frustrada conmigo misma",0
"no sé qué hacer con mi futuro",0
"últimamente me siento muy agobiada con los estudios y no consigo organizarme bien",0
"he estado más triste de lo normal estas semanas pero intento seguir adelante",0
"me cuesta concentrarme en clase porque tengo demasiadas cosas en la cabeza",0
"me siento bastante sola en clase porque casi no hablo con nadie",0
"mis padres esperan demasiado de mí y siento mucha presión constantemente",0
"estoy muy nerviosa porque creo que voy a suspender varias asignaturas",0
"últimamente me cuesta dormir pensando en todo lo que tengo que hacer",0
"me siento mal conmigo misma porque comparo mis notas con las de los demás",0
"he perdido bastante la motivación para estudiar y eso me preocupa",0
"me cuesta participar en clase porque me pongo muy nerviosa hablando delante de otros",0
"desde hace un tiempo me siento más sensible y cualquier cosa me afecta mucho",0
"tengo problemas para hacer amigos y eso hace que me sienta aislada",0
"me agobia muchísimo pensar en el futuro y en lo que haré después de estudiar",0
"hay días en los que me siento muy desanimada aunque intento aparentar que estoy bien",0
"me siento frustrada porque estudio mucho y aun así mis resultados no mejoran",0
"últimamente estoy teniendo mucha ansiedad con los trabajos y exámenes",0
"me cuesta disfrutar las cosas porque siempre estoy pensando en responsabilidades",0
"mis compañeros a veces hacen comentarios que me hacen sentir incómoda",0
"estoy pasando una etapa complicada emocionalmente pero quiero mejorar",0
"me siento agotada mentalmente por todo el estrés acumulado",0
"tengo muchísimos deberes esta semana",0
"no sé cómo voy a llegar a todo antes de los exámenes",0
"me estreso mucho cuando tengo que hablar delante de clase",0
"esta semana ha sido muy dura con tanto trabajo",0
"me cuesta mucho entender los temas de ciencias",0
"estoy muy agobiada porque tengo que recuperar varias asignaturas",0
"no sé si voy a poder con todo este trimestre",0
"me siento muy mal cuando saco malas notas",0
"tengo miedo de decepcionar a mis padres con los resultados",0
"me cuesta mucho concentrarme cuando hay ruido",0
"estoy muy nerviosa por la presentación de mañana",0
"no entiendo por qué me cuesta tanto estudiar",0
"me agobia pensar en la selectividad",0
"siento que los demás lo entienden todo más rápido que yo",0
"tengo muchos trabajos pendientes y no sé por dónde empezar",0
"me frustro mucho cuando estudio y no me acuerdo de nada",0
"esta semana tengo exámenes todos los días",0
"me cuesta mucho organizarme el tiempo",0
"no duermo bien los días antes de los exámenes",0
"me pongo muy nerviosa y se me olvida todo en el examen",0
"me siento un poco desplazada en mi grupo de amigas",0
"últimamente mis amigas y yo no nos llevamos tan bien",0
"hay alguien en clase que me tiene manía y no sé por qué",0
"me cuesta mucho abrirme con gente nueva",0
"siento que no soy divertida y por eso la gente no me busca",0
"me da vergüenza comer sola en el recreo",0
"mis amigos tienen novio y yo me siento un poco sola",0
"me cuesta mucho decirle a la gente cuando me molesta algo",0
"siento que no tengo a nadie con quien hablar de verdad",0
"me pone muy nerviosa cuando hay conflictos en el grupo",0
"me cuesta mucho pedir ayuda cuando no entiendo algo en clase",0
"siento que no encajo con nadie de mi edad",0
"me da mucha vergüenza cuando me equivoco delante de los demás",0
"mis amigos de antes se han distanciado y lo echo de menos",0
"me cuesta mucho expresar cómo me siento con palabras",0
"mis padres no se ponen de acuerdo en nada y eso me agota",0
"siento que en casa no me escuchan",0
"mis padres trabajan mucho y casi no les veo",0
"me peleo mucho con mi hermano y me pone de mal humor",0
"siento que mis padres son muy estrictos conmigo",0
"en casa hay mucha tensión desde hace tiempo",0
"mis padres no entienden la presión que tenemos en el instituto",0
"me cuesta hablar con mis padres de cosas personales",0
"siento que mi familia espera demasiado de mí",0
"mis padres se preocupan demasiado y eso me agobia",0
"últimamente estoy de mal humor sin razón aparente",0
"me cuesta mucho levantarme con energía por las mañanas",0
"me siento rara últimamente pero no sé exactamente por qué",0
"tengo días en los que todo me parece muy difícil",0
"me cuesta ilusionarme con las cosas",0
"últimamente estoy muy despistada y se me olvidan las cosas",0
"me siento un poco perdida con lo que quiero hacer en el futuro",0
"me cuesta mucho relajarme aunque no tenga nada que hacer",0
"a veces me siento incomprendida aunque intento explicarme bien",0
"me afecta mucho cuando alguien me critica aunque sea sin mala intención",0
"últimamente tengo poca energía para hacer cosas que antes me gustaban",0
"me siento un poco sola en general aunque tengo gente alrededor",0
"me cuesta mucho perdonarme cuando cometo un error",0
"a veces siento que no sé quién soy realmente",0
"me preocupa mucho lo que los demás piensan de mí",0
"tengo días muy buenos y días muy malos y no entiendo por qué",0
"me cuesta mucho desconectar cuando llego a casa",0
"últimamente me siento muy insegura con mi físico",0
"me afecta mucho el ambiente del instituto cuando hay conflictos",0
"siento que necesito agradar a todo el mundo y eso me cansa",0
"no llego a todo con los exámenes",0
"estoy agobiada con los trabajos de fin de trimestre",0
"no sé cómo organizarme con tantas asignaturas",0
"me cuesta mucho concentrarme últimamente",0
"suspendí el examen y estoy muy decepcionada conmigo",0
"tengo tres exámenes la misma semana y no sé por dónde empezar",0
"me quedo en blanco cuando me preguntan en clase",0
"estoy muy nerviosa por las notas del trimestre",0
"no entiendo nada de matemáticas y me frustro mucho",0
"me cuesta mucho estudiar cuando estoy en casa",0
"tengo miedo de no pasar de curso",0
"me siento muy presionada por las notas",0
"no consigo terminar los deberes a tiempo",0
"estoy muy agobiada con el trabajo de fin de curso",0
"me pongo muy nerviosa en los exámenes aunque haya estudiado",0
"he discutido con mi mejor amiga y estoy muy triste",0
"siento que no encajo en mi grupo de clase",0
"mis amigos quedaron sin mí y me sentó mal",0
"hay una chica en clase que me hace comentarios feos",0
"me cuesta hacer amigos nuevos",0
"siento que la gente no me entiende",0
"me siento ignorada por mis compañeros",0
"he tenido una pelea con mi pareja y estoy fatal",0
"mis amigas están distantes últimamente y no sé por qué",0
"me cuesta hablar con gente que no conozco",0
"siento que soy la rara del grupo",0
"me pongo muy nerviosa cuando tengo que hablar en público",0
"hay alguien en clase que me cae muy mal y me afecta",0
"me siento excluida en los trabajos en grupo",0
"no sé cómo hacer para que me incluyan más",0
"mis padres discuten mucho y me afecta",0
"siento mucha presión de mi familia con las notas",0
"mis padres no entienden lo que me cuesta estudiar",0
"en casa hay mucha tensión últimamente",0
"mis padres se han separado y estoy pasándolo mal",0
"siento que decepciono a mi familia",0
"mis padres me comparan con mi hermano y me duele",0
"en casa no puedo estudiar porque hay mucho ruido",0
"mis padres no me dejan salir y me siento muy controlada",0
"siento que no puedo hablar con mis padres de cómo me siento",0
"estoy más sensible de lo normal estas semanas",0
"me cuesta disfrutar de las cosas que antes me gustaban",0
"últimamente lloro con facilidad por cualquier cosa",0
"me siento muy cansada aunque duerma bien",0
"estoy pasando una mala racha pero intento tirar adelante",0
"me siento insegura con mi forma de ser",0
"no me gusta cómo me veo físicamente",0
"me comparo mucho con los demás y me hace sentir mal",0
"tengo días muy bajos sin saber muy bien por qué",0
"me cuesta tener confianza en mí misma",0
"últimamente me irrito con facilidad",0
"me siento muy sola aunque tenga gente alrededor",0
"tengo ansiedad en situaciones sociales",0
"me cuesta mucho tomar decisiones",0
"me preocupo demasiado por todo",0
"estic molt agobiada amb els exàmens",0
"he discutit amb la meva millor amiga",0
"em sento sola a classe",0
"tinc molts deures aquesta setmana i no sé com arribaré",0
"em poso molt nerviosa quan he de parlar davant de la classe",0
"em costa molt concentrar-me quan hi ha soroll",0
"em frustro molt quan estudio i no recordo res",0
"em sento una mica desplaçada al meu grup d'amigues",0
"m'avergonyeix menjar sola al pati",0
"els meus pares no s'entenen i això m'esgota",0
"em costa molt demanar ajuda quan no entenc alguna cosa",0
"últimament estic de mal humor sense raó",0
"em costa molt relaxar-me encara que no tingui res a fer",0
"els meus pares em pressionen molt amb les notes",0
"em costa concentrar-me darrerament",0
"no encaixo bé amb els meus companys",0
"estic passant una mala època però intento tirar endavant",0
"em sento insegura amb la meva forma de ser",0
"tinc molta ansietat abans dels exàmens",0
"em comparo massa amb els altres",0
"estou moi agobiada cos exames",0
"discutín coa miña mellor amiga",0
"séntome soa na clase",0
"os meus pais presiónanme moito coas notas",0
"cústame concentrarme ultimamente",0
"non encaixo ben cos meus compañeiros",0
"estou pasando unha mala época pero intento seguir adiante",0
"séntome insegura coa miña forma de ser",0
"teño moita ansiedade antes dos exames",0
"compárome demasiado cos demais",0
"teño moitos deberes esta semana e non sei como chegarei",0
"póñome moi nerviosa cando teño que falar diante da clase",0
"cústame moito concentrarme cando hai ruído",0
"frustróme moito cando estudo e non lembro nada",0
"séntome un pouco desprazada no meu grupo de amigas",0
"dáme vergoña comer soa no recreo",0
"os meus pais non se entenden e iso esgótame",0
"cústame moito pedir axuda cando non entendo algo",0
"ultimamente estou de mal humor sen razón",0
"cústame moito relaxarme aínda que non teña nada que facer",0